[54614:15826905:0606/155938.404249:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.421328:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.437713:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.455290:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.472010:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.487622:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.505356:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.522068:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.538967:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.554395:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.571575:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.588523:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.605551:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.622558:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.638215:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.655384:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.671812:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.689170:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.705517:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.722290:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.738383:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54620:15826976:0606/155938.829936:WARNING:net/extras/sqlite/sqlite_persistent_store_backend_base.cc:179] Failed to post task from FlushAndNotifyInBackground@net/extras/sqlite/sqlite_persistent_store_backend_base.cc:229 to client_task_runner_.
[54620:15826976:0606/155938.830268:WARNING:net/extras/sqlite/sqlite_persistent_store_backend_base.cc:179] Failed to post task from FlushAndNotifyInBackground@net/extras/sqlite/sqlite_persistent_store_backend_base.cc:229 to client_task_runner_.
